sec,rms,F1,F2,F3,F4,f0,c
1.13,-13.847049713134766,701.036,1528.54,2879.577,4169.813,292.683,0.881
1.14,-13.500869750976562,200.0,1786.972,2859.031,3970.774,300.0,0.891
1.15,-12.310132026672363,459.791,1940.06,2834.331,3861.644,300.0,0.893
1.16,-11.946296691894531,457.952,2082.781,2833.525,3965.467,307.692,0.895
1.17,-12.419656753540039,472.1,2197.647,2860.828,4295.194,307.692,0.895
1.18,-12.532842636108398,486.346,2280.245,2853.191,4510.417,315.789,0.898
1.19,-12.165719032287598,459.702,2320.142,2863.154,4530.852,307.692,0.854
1.2,-11.933165550231934,340.365,2342.482,2874.319,4605.278,307.692,0.852
1.21,-11.999711990356445,308.588,2376.307,2914.25,4611.258,307.692,0.875
1.22,-12.57721996307373,305.551,2396.4,2959.937,4650.784,307.692,0.856
1.23,-13.242387771606445,447.771,2384.704,2975.458,4738.157,307.692,0.885
1.24,-13.78607177734375,477.556,2266.572,2930.271,4767.354,307.692,0.893
1.25,-15.211637496948242,359.51,2103.497,2940.664,4622.095,300.0,0.828
1.26,-18.07496452331543,279.859,2093.322,2941.951,4665.915,285.714,0.622
1.27,-23.177074432373047,302.865,2319.16,2867.804,4678.934,307.692,0.637
1.28,-28.048370361328125,301.816,2397.53,2943.82,4530.688,307.692,0.766
1.29,-29.685089111328125,303.063,2386.742,3064.816,4919.899,307.692,0.671
1.3,-32.3572883605957,515.255,2384.764,3257.576,5463.177,315.789,0.398
1.31,-31.91095733642578,717.985,2339.811,3401.365,5449.185,260.87,0.534
1.32,-31.748416900634766,797.99,2255.014,3352.229,5079.309,272.727,0.478
1.33,-31.157140731811523,839.824,2044.985,3188.548,4836.128,279.07,0.517
1.34,-29.555374145507812,968.287,1844.483,3052.773,4535.798,307.692,0.545
1.35,-29.84816551208496,1001.207,2029.017,3193.683,4348.216,307.692,0.552
1.36,-31.78333282470703,976.101,1770.805,3186.227,4335.929,155.844,0.537
1.37,-32.43037033081055,1039.999,1837.434,3273.153,4303.871,100.84,0.417
1.38,-33.03313446044922,1052.502,2065.905,3409.5,4262.541,266.667,0.591
1.39,-32.0911865234375,1059.236,1960.245,3317.244,4181.396,266.667,0.67
1.4,-26.8062801361084,290.515,1354.794,3164.592,4156.244,307.692,0.426
1.41,-20.05027961730957,736.949,1208.915,3114.687,4229.116,285.714,0.75
1.42,-15.632877349853516,873.895,1181.945,3199.556,4195.516,292.683,0.822
1.43,-14.183906555175781,881.816,1216.276,3194.816,4136.198,285.714,0.758
1.44,-15.264430046081543,888.532,1262.665,3229.02,4106.724,279.07,0.76
1.45,-16.305984497070312,895.974,1261.85,3251.706,4076.828,285.714,0.881
1.46,-15.993335723876953,867.221,1214.051,3213.771,4020.052,292.683,0.816
1.47,-15.116181373596191,881.854,1206.213,3228.645,4018.329,300.0,0.796
1.48,-14.388562202453613,916.427,1234.483,3152.596,3959.813,307.692,0.799
1.49,-15.22314167022705,938.793,1280.671,3132.684,3974.737,315.789,0.817
1.5,-16.929798126220703,974.939,1317.156,3149.142,4021.6,315.789,0.753
1.51,-16.5649471282959,967.365,1328.097,2958.592,3975.299,324.324,0.806
1.52,-17.171367645263672,1018.878,1395.968,2965.5,4023.498,333.333,0.748
